

wavelength(nm), Y
1565, -31.4677
1564.98, -31.4483
1564.97, -31.4294
1564.95, -31.4112
1564.94, -31.3934
1564.92, -31.3763
1564.91, -31.3596
1564.89, -31.3436
1564.88, -31.3281
1564.86, -31.3131
1564.85, -31.2986
1564.83, -31.2848
1564.82, -31.2714
1564.8, -31.2586
1564.79, -31.2463
1564.77, -31.2346
1564.76, -31.2234
1564.74, -31.2127
1564.73, -31.2026
1564.71, -31.193
1564.7, -31.1839
1564.68, -31.1754
1564.67, -31.1673
1564.65, -31.1598
1564.64, -31.1529
1564.62, -31.1464
1564.61, -31.1405
1564.59, -31.1351
1564.58, -31.1302
1564.56, -31.1259
1564.55, -31.122
1564.53, -31.1187
1564.52, -31.1159
1564.5, -31.1137
1564.49, -31.1119
1564.47, -31.1107
1564.45, -31.11
1564.44, -31.1098
1564.42, -31.1101
1564.41, -31.1109
1564.39, -31.1123
1564.38, -31.1142
1564.36, -31.1166
1564.35, -31.1195
1564.33, -31.123
1564.32, -31.1269
1564.3, -31.1314
1564.29, -31.1364
1564.27, -31.142
1564.26, -31.148
1564.24, -31.1546
1564.23, -31.1617
1564.21, -31.1693
1564.2, -31.1775
1564.18, -31.1862
1564.17, -31.1954
1564.15, -31.2051
1564.14, -31.2154
1564.12, -31.2262
1564.11, -31.2375
1564.09, -31.2494
1564.08, -31.2618
1564.06, -31.2748
1564.05, -31.2883
1564.03, -31.3023
1564.02, -31.3169
1564, -31.332
1563.99, -31.3476
1563.97, -31.3638
1563.96, -31.3806
1563.94, -31.3979
1563.93, -31.4158
1563.91, -31.4342
1563.9, -31.4532
1563.88, -31.4727
1563.86, -31.4928
1563.85, -31.5135
1563.83, -31.5347
1563.82, -31.5566
1563.8, -31.5789
1563.79, -31.6019
1563.77, -31.6255
1563.76, -31.6496
1563.74, -31.6743
1563.73, -31.6996
1563.71, -31.7255
1563.7, -31.752
1563.68, -31.7791
1563.67, -31.8068
1563.65, -31.8351
1563.64, -31.8641
1563.62, -31.8936
1563.61, -31.9238
1563.59, -31.9546
1563.58, -31.986
1563.56, -32.018
1563.55, -32.0507
1563.53, -32.084
1563.52, -32.118
