

wavelength(nm), Y
1565, -31.393
1564.98, -31.3992
1564.97, -31.4059
1564.95, -31.4132
1564.94, -31.421
1564.92, -31.4293
1564.91, -31.4381
1564.89, -31.4475
1564.88, -31.4574
1564.86, -31.4678
1564.85, -31.4788
1564.83, -31.4903
1564.82, -31.5024
1564.8, -31.5149
1564.79, -31.5281
1564.77, -31.5417
1564.76, -31.5559
1564.74, -31.5707
1564.73, -31.586
1564.71, -31.6018
1564.7, -31.6182
1564.68, -31.6352
1564.67, -31.6527
1564.65, -31.6708
1564.64, -31.6894
1564.62, -31.7086
1564.61, -31.7283
1564.59, -31.7487
1564.58, -31.7695
1564.56, -31.791
1564.55, -31.813
1564.53, -31.8357
1564.52, -31.8589
1564.5, -31.8826
1564.49, -31.907
1564.47, -31.932
1564.45, -31.9575
1564.44, -31.9837
1564.42, -32.0104
1564.41, -32.0378
1564.39, -32.0658
1564.38, -32.0944
1564.36, -32.1236
1564.35, -32.1534
1564.33, -32.1838
1564.32, -32.2149
1564.3, -32.2466
1564.29, -32.279
1564.27, -32.3119
1564.26, -32.3456
1564.24, -32.3799
1564.23, -32.4148
1564.21, -32.4504
1564.2, -32.4867
1564.18, -32.5237
1564.17, -32.5613
1564.15, -32.5996
1564.14, -32.6387
1564.12, -32.6784
1564.11, -32.7188
1564.09, -32.7599
1564.08, -32.8018
1564.06, -32.8443
1564.05, -32.8877
1564.03, -32.9317
1564.02, -32.9765
1564, -33.022
1563.99, -33.0683
1563.97, -33.1154
1563.96, -33.1633
1563.94, -33.2119
1563.93, -33.2614
1563.91, -33.3116
1563.9, -33.3627
1563.88, -33.4146
1563.86, -33.4673
1563.85, -33.5208
1563.83, -33.5752
1563.82, -33.6305
1563.8, -33.6867
1563.79, -33.7437
1563.77, -33.8017
1563.76, -33.8605
1563.74, -33.9203
1563.73, -33.981
1563.71, -34.0426
1563.7, -34.1053
1563.68, -34.1689
1563.67, -34.2334
1563.65, -34.299
1563.64, -34.3656
1563.62, -34.4333
1563.61, -34.502
1563.59, -34.5717
1563.58, -34.6426
1563.56, -34.7145
1563.55, -34.7876
1563.53, -34.8618
1563.52, -34.9372
1563.5, -35.0137
1563.49, -35.0914
1563.47, -35.1704
1563.46, -35.2506
1563.44, -35.3321
1563.43, -35.4148
1563.41, -35.4989
1563.4, -35.5843
1563.38, -35.6711
1563.37, -35.7592
1563.35, -35.8488
1563.34, -35.9399
1563.32, -36.0324
1563.31, -36.1264
1563.29, -36.222
1563.28, -36.3191
1563.26, -36.4178
1563.25, -36.5182
1563.23, -36.6203
1563.21, -36.7241
1563.2, -36.8297
1563.18, -36.937
1563.17, -37.0463
1563.15, -37.1574
1563.14, -37.2704
1563.12, -37.3855
1563.11, -37.5026
1563.09, -37.6218
1563.08, -37.7432
1563.06, -37.8668
1563.05, -37.9926
1563.03, -38.1208
1563.02, -38.2514
1563, -38.3845
1562.99, -38.5202
1562.97, -38.6585
1562.96, -38.7995
1562.94, -38.9433
1562.93, -39.09
1562.91, -39.2397
1562.9, -39.3925
1562.88, -39.5485
1562.87, -39.7078
1562.85, -39.8705
1562.84, -40.0368
1562.82, -40.2067
1562.81, -40.3805
1562.79, -40.5582
1562.78, -40.7401
1562.76, -40.9262
1562.75, -41.1169
1562.73, -41.3121
1562.72, -41.5123
1562.7, -41.7174
1562.69, -41.9279
1562.67, -42.1439
1562.66, -42.3657
1562.64, -42.5936
1562.63, -42.8278
1562.61, -43.0687
1562.6, -43.3166
1562.58, -43.5719
1562.57, -43.835
1562.55, -44.1062
1562.54, -44.3861
1562.52, -44.6752
1562.51, -44.9739
1562.49, -45.2828
1562.47, -45.6026
1562.46, -45.9338
1562.44, -46.2772
1562.43, -46.6336
1562.41, -47.0037
1562.4, -47.3883
1562.38, -47.7884
1562.37, -48.2048
1562.35, -48.6384
1562.34, -49.0901
1562.32, -49.5606
1562.31, -50.0506
1562.29, -50.5602
1562.28, -51.0893
1562.26, -51.6368
1562.25, -52.2005
1562.23, -52.7762
1562.22, -53.3574
1562.2, -53.9337
1562.19, -54.4903
1562.17, -55.0068
1562.16, -55.4574
1562.14, -55.8124
1562.13, -56.0431
1562.11, -56.1276
1562.1, -56.0572
1562.08, -55.8391
1562.07, -55.4943
1562.05, -55.0512
1562.04, -54.5396
1562.02, -53.9857
1562.01, -53.4105
1561.99, -52.8293
1561.98, -52.2527
1561.96, -51.6878
1561.95, -51.1387
1561.93, -50.6079
1561.92, -50.0964
1561.9, -49.6047
1561.89, -49.1324
1561.87, -48.679
1561.86, -48.2437
1561.84, -47.8258
1561.83, -47.4243
1561.81, -47.0382
1561.8, -46.6669
1561.78, -46.3093
1561.77, -45.9647
1561.75, -45.6324
1561.74, -45.3116
1561.72, -45.0017
1561.71, -44.7021
1561.69, -44.4122
1561.68, -44.1315
1561.66, -43.8595
1561.64, -43.5957
1561.63, -43.3397
1561.61, -43.0911
1561.6, -42.8496
1561.58, -42.6148
1561.57, -42.3863
1561.55, -42.164
1561.54, -41.9475
1561.52, -41.7365
1561.51, -41.5308
1561.49, -41.3302
1561.48, -41.1345
1561.46, -40.9435
1561.45, -40.7569
1561.43, -40.5747
1561.42, -40.3966
1561.4, -40.2225
1561.39, -40.0522
1561.37, -39.8856
1561.36, -39.7225
1561.34, -39.5629
1561.33, -39.4066
1561.31, -39.2536
1561.3, -39.1036
1561.28, -38.9566
1561.27, -38.8125
1561.25, -38.6713
1561.24, -38.5327
1561.22, -38.3968
1561.21, -38.2635
1561.19, -38.1327
1561.18, -38.0043
1561.16, -37.8782
1561.15, -37.7544
1561.13, -37.6328
1561.12, -37.5134
1561.1, -37.3961
1561.09, -37.2809
1561.07, -37.1677
1561.06, -37.0564
1561.04, -36.947
1561.03, -36.8394
1561.01, -36.7337
1561, -36.6297
1560.98, -36.5275
1560.97, -36.427
1560.95, -36.3281
1560.94, -36.2308
1560.92, -36.1351
1560.91, -36.0409
1560.89, -35.9483
1560.88, -35.8571
1560.86, -35.7674
1560.85, -35.6791
1560.83, -35.5922
1560.82, -35.5067
1560.8, -35.4225
1560.79, -35.3396
1560.77, -35.258
1560.76, -35.1777
1560.74, -35.0986
1560.73, -35.0208
1560.71, -34.9441
1560.7, -34.8686
1560.68, -34.7943
1560.67, -34.7212
1560.65, -34.6491
1560.64, -34.5782
1560.62, -34.5083
1560.61, -34.4395
1560.59, -34.3718
1560.58, -34.3051
1560.56, -34.2394
1560.54, -34.1747
1560.53, -34.111
1560.51, -34.0483
1560.5, -33.9866
1560.48, -33.9258
1560.47, -33.8659
1560.45, -33.807
1560.44, -33.749
1560.42, -33.6919
1560.41, -33.6356
1560.39, -33.5803
1560.38, -33.5258
1560.36, -33.4721
1560.35, -33.4193
1560.33, -33.3674
1560.32, -33.3162
1560.3, -33.2659
1560.29, -33.2164
1560.27, -33.1677
1560.26, -33.1198
1560.24, -33.0726
1560.23, -33.0262
1560.21, -32.9806
1560.2, -32.9358
1560.18, -32.8917
1560.17, -32.8483
1560.15, -32.8056
1560.14, -32.7637
1560.12, -32.7225
1560.11, -32.682
1560.09, -32.6423
1560.08, -32.6032
1560.06, -32.5648
1560.05, -32.5271
1560.03, -32.4901
1560.02, -32.4537
1560, -32.4181
1559.99, -32.383
1559.97, -32.3487
1559.96, -32.315
1559.94, -32.2819
1559.93, -32.2495
1559.91, -32.2178
1559.9, -32.1866
1559.88, -32.1561
1559.87, -32.1263
1559.85, -32.097
1559.84, -32.0684
1559.82, -32.0403
1559.81, -32.0129
1559.79, -31.9861
1559.78, -31.9599
1559.76, -31.9343
1559.75, -31.9093
1559.73, -31.8849
1559.72, -31.861
1559.7, -31.8378
1559.69, -31.8151
1559.67, -31.793
1559.66, -31.7715
1559.64, -31.7505
1559.63, -31.7302
1559.61, -31.7104
1559.6, -31.6911
1559.58, -31.6724
1559.57, -31.6543
1559.55, -31.6368
1559.54, -31.6198
1559.52, -31.6033
1559.51, -31.5874
1559.49, -31.5721
1559.48, -31.5573
1559.46, -31.543
1559.45, -31.5293
1559.43, -31.5161
1559.42, -31.5035
1559.4, -31.4914
1559.39, -31.4798
1559.37, -31.4688
1559.36, -31.4583
1559.34, -31.4484
1559.33, -31.439
1559.31, -31.4301
1559.3, -31.4217
1559.28, -31.4139
1559.27, -31.4066
1559.25, -31.3998
1559.24, -31.3936
1559.22, -31.3878
1559.21, -31.3826
1559.19, -31.378
1559.18, -31.3738
1559.16, -31.3702
1559.15, -31.3671
1559.13, -31.3645
1559.12, -31.3625
1559.1, -31.3609
1559.09, -31.3599
1559.07, -31.3594
1559.06, -31.3594
1559.04, -31.36
1559.03, -31.361
1559.01, -31.3626
1559, -31.3648
1558.98, -31.3674
1558.97, -31.3705
1558.95, -31.3742
1558.94, -31.3784
1558.92, -31.3832
1558.91, -31.3884
1558.89, -31.3942
1558.88, -31.4005
1558.86, -31.4073
1558.85, -31.4147
1558.83, -31.4225
1558.82, -31.431
1558.8, -31.4399
1558.78, -31.4494
1558.77, -31.4594
1558.75, -31.4699
1558.74, -31.481
1558.72, -31.4926
1558.71, -31.5047
1558.69, -31.5174
1558.68, -31.5307
1558.66, -31.5444
1558.65, -31.5587
1558.63, -31.5736
1558.62, -31.589
1558.6, -31.605
1558.59, -31.6215
1558.57, -31.6385
1558.56, -31.6562
1558.54, -31.6743
1558.53, -31.6931
1558.51, -31.7124
1558.5, -31.7322
1558.48, -31.7527
1558.47, -31.7737
1558.45, -31.7952
1558.44, -31.8174
1558.42, -31.8401
1558.41, -31.8634
1558.39, -31.8873
1558.38, -31.9118
1558.36, -31.9369
1558.35, -31.9626
1558.33, -31.9888
1558.32, -32.0157
1558.3, -32.0432
1558.29, -32.0713
1558.27, -32.1
1558.26, -32.1293
1558.24, -32.1592
1558.23, -32.1898
1558.21, -32.221
1558.2, -32.2528
1558.18, -32.2853
1558.17, -32.3184
1558.15, -32.3522
1558.14, -32.3866
1558.12, -32.4217
1558.11, -32.4574
1558.09, -32.4938
1558.08, -32.5309
1558.06, -32.5687
1558.05, -32.6071
1558.03, -32.6463
1558.02, -32.6861
1558, -32.7267
1557.99, -32.768
1557.97, -32.81
1557.96, -32.8527
1557.94, -32.8961
1557.93, -32.9403
1557.91, -32.9852
1557.9, -33.0309
1557.88, -33.0774
1557.87, -33.1246
1557.85, -33.1726
1557.84, -33.2214
1557.82, -33.271
1557.81, -33.3214
1557.79, -33.3726
1557.78, -33.4247
1557.76, -33.4776
1557.75, -33.5313
1557.73, -33.5859
1557.72, -33.6413
1557.7, -33.6976
1557.69, -33.7549
1557.67, -33.813
1557.66, -33.872
1557.64, -33.932
1557.63, -33.9928
1557.61, -34.0547
1557.6, -34.1175
1557.58, -34.1813
1557.57, -34.2461
1557.55, -34.3118
1557.54, -34.3786
1557.52, -34.4465
1557.51, -34.5154
1557.49, -34.5854
1557.48, -34.6564
1557.46, -34.7286
1557.45, -34.8019
1557.43, -34.8763
1557.42, -34.9519
1557.4, -35.0287
1557.39, -35.1066
1557.37, -35.1858
1557.36, -35.2663
1557.34, -35.348
1557.33, -35.431
1557.31, -35.5153
1557.3, -35.601
1557.28, -35.688
1557.27, -35.7765
1557.25, -35.8663
1557.24, -35.9576
1557.22, -36.0504
1557.21, -36.1448
1557.19, -36.2406
1557.18, -36.3381
1557.16, -36.4371
1557.15, -36.5378
1557.13, -36.6403
1557.12, -36.7444
1557.1, -36.8503
1557.09, -36.958
1557.07, -37.0676
1557.06, -37.1791
1557.04, -37.2926
1557.03, -37.408
1557.01, -37.5255
1557, -37.6451
1556.98, -37.7669
1556.97, -37.8909
1556.95, -38.0172
1556.94, -38.1459
1556.92, -38.277
1556.91, -38.4106
1556.89, -38.5467
1556.88, -38.6855
1556.86, -38.8271
1556.85, -38.9715
1556.83, -39.1187
1556.82, -39.269
1556.8, -39.4224
1556.79, -39.579
1556.77, -39.739
1556.76, -39.9024
1556.74, -40.0694
1556.73, -40.24
1556.71, -40.4146
1556.7, -40.5931
1556.68, -40.7758
1556.67, -40.9628
1556.65, -41.1543
1556.64, -41.3505
1556.62, -41.5516
1556.61, -41.7578
1556.59, -41.9693
1556.58, -42.1864
1556.56, -42.4093
1556.55, -42.6384
1556.53, -42.8739
1556.52, -43.1161
1556.5, -43.3654
1556.49, -43.6222
1556.47, -43.8868
1556.46, -44.1597
