["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.3735106102279362e+14 3.0219643395023549e-03 -1.0104982826820452e+01
2.3830879014308425e+14 3.9013602119969083e-03 -1.1024083372873099e+01
("Port 1","mode 1",1,"Port 3",1,"transmission")
(22, 3)
2.2011193685756241e+14 1.3092969932759493e-01 2.8099190580958480e+00
2.2106966597785303e+14 1.6862440456233102e-01 -8.1885848686737830e-02
2.2202739509814366e+14 2.0493483287155118e-01 -2.9730374560093926e+00
2.2298512421843428e+14 2.3999502539402778e-01 -5.8644640610755419e+00
2.2394285333872491e+14 2.7370935050530903e-01 -8.7567549056171625e+00
2.2490058245901553e+14 3.0585089563722340e-01 -1.1649526296566332e+01
2.2585831157930616e+14 3.3630734438662191e-01 -1.4541908684020520e+01
2.2681604069959678e+14 3.6526551369470789e-01 -1.7433226712239161e+01
2.2777376981988741e+14 3.9307118827820564e-01 -2.0323524497064312e+01
2.2873149894017803e+14 4.2002068688251248e-01 -2.3213459302824429e+01
2.2918744246397328e+14 4.3258103513383783e-01 -2.1598122072654359e+01
2.2923328453667334e+14 4.3383363739029346e-01 -2.1435717563253199e+01
2.2968922806046862e+14 4.4618750805434038e-01 -1.9820532583795675e+01
2.3064695718075925e+14 4.7144168705655770e-01 -2.2711452479106605e+01
2.3160468630104988e+14 4.9562809095503607e-01 -2.5602934639216439e+01
2.3256241542134050e+14 5.1866735765062932e-01 -2.8494695945105846e+01
2.3352014454163112e+14 5.4057384961527277e-01 -3.1386493861116630e+01
2.3447787366192175e+14 5.6141317002652724e-01 -3.4278173202579197e+01
2.3543560278221238e+14 5.8127143658187885e-01 -3.7169675015857656e+01
2.3639333190250300e+14 6.0019864535467526e-01 -4.0061007758676276e+01
2.3735106102279362e+14 6.1820900064394269e-01 -4.2952138671550991e+01
2.3830879014308425e+14 6.3536851084347945e-01 -4.5843025738850699e+01
("Port 1","mode 1",1,"Port 4",1,"transmission")
(22, 3)
2.2011193685756241e+14 9.8974747519403328e-01 -1.9036732318843630e+00
2.2106966597785303e+14 9.8411766096548225e-01 -4.7948558517587534e+00
2.2202739509814366e+14 9.7687308999037337e-01 -7.6860793833860761e+00
2.2298512421843428e+14 9.6839838950587964e-01 -1.0577081147753356e+01
2.2394285333872491e+14 9.5910428165772144e-01 -1.3467894863122901e+01
2.2490058245901553e+14 9.4921107884198086e-01 -1.6358726894620556e+01
2.2585831157930616e+14 9.3874577031390338e-01 -1.9249740495495381e+01
2.2681604069959678e+14 9.2767456302554641e-01 -2.2140961649841621e+01
