["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.3543560278221238e+14 2.0232903618928552e-03 -2.6996306541555843e+00
2.3639333190250300e+14 2.2987777958884742e-03 -3.4248260413341636e+00
2.3735106102279362e+14 2.8385817672962280e-03 -4.2270835557236728e+00
2.3830879014308425e+14 3.6683518904429848e-03 -4.7638310436782891e+00
("Port 1","mode 1",1,"Port 3",1,"transmission")
(22, 3)
2.2011193685756241e+14 9.6114678038983960e-03 -6.6664756290251281e-01
2.2106966597785303e+14 3.1878681790380309e-02 -3.5470895684236392e-01
2.2202739509814366e+14 7.1791563616205173e-02 -3.0413941944986553e+00
2.2298512421843428e+14 1.1041839957868825e-01 -5.7379561052040753e+00
2.2394285333872491e+14 1.4810747610872607e-01 -8.4374926586537526e+00
2.2490058245901553e+14 1.8495121101131087e-01 -1.1140205712128509e+01
2.2585831157930616e+14 2.2067477005270281e-01 -1.3845946829133295e+01
2.2681604069959678e+14 2.5493207865694295e-01 -1.6553324639259181e+01
2.2777376981988741e+14 2.8755521186109773e-01 -1.9260834749949797e+01
2.2873149894017803e+14 3.1866492967536825e-01 -2.1967753432824122e+01
2.2918744246397328e+14 3.3300824312969490e-01 -2.0264980411169347e+01
2.2923328453667334e+14 3.3443489588167874e-01 -2.0093771960454184e+01
2.2968922806046862e+14 3.4847198362475246e-01 -1.8390901124566991e+01
2.3064695718075925e+14 3.7707882108529056e-01 -2.1097077644338388e+01
2.3160468630104988e+14 4.0447372241495183e-01 -2.3803258049218872e+01
2.3256241542134050e+14 4.3061040684504381e-01 -2.6509349717020157e+01
2.3352014454163112e+14 4.5551421371810430e-01 -2.9215159808494718e+01
2.3447787366192175e+14 4.7926402802290663e-01 -3.1920512318841407e+01
2.3543560278221238e+14 5.0200618370135219e-01 -3.4625367316576089e+01
2.3639333190250300e+14 5.2387012451024528e-01 -3.7329809170020646e+01
2.3735106102279362e+14 5.4494392291036420e-01 -4.0033959314721699e+01
2.3830879014308425e+14 5.6532106650056213e-01 -4.2737997127735412e+01
("Port 1","mode 1",1,"Port 4",1,"transmission")
(22, 3)
2.2011193685756241e+14 9.9655526808890182e-01 -2.3282781010350262e+00
2.2106966597785303e+14 9.9637000340091819e-01 -5.0327500069136200e+00
2.2202739509814366e+14 9.9474974470376953e-01 -7.7377759900057708e+00
2.2298512421843428e+14 9.9148259438627440e-01 -1.0443231385114915e+01
2.2394285333872491e+14 9.8668196096538818e-01 -1.3148822684248199e+01
2.2490058245901553e+14 9.8067255024052591e-01 -1.5854474643874719e+01
2.2585831157930616e+14 9.7365110845429748e-01 -1.8560349995818569e+01
2.2681604069959678e+14 9.6557214125848523e-01 -2.1266586512572623e+01
2.2777376981988741e+14 9.5627722348329325e-01 -2.3973081689131874e+01
2.2873149894017803e+14 9.4578661821065058e-01 -2.6679480152143505e+01
2.2918744246397328e+14 9.4045737840426658e-01 -2.4976554834409932e+01
2.2923328453667334e+14 9.3991292521792069e-01 -2.4805330985460774e+01
2.2968922806046862e+14 9.3442468258719258e-01 -2.3102282267399161e+01
2.3064695718075925e+14 9.2262230318283345e-01 -2.5807835184239899e+01
2.3160468630104988e+14 9.1062774692833892e-01 -2.8513145285338755e+01
2.3256241542134050e+14 8.9849288446408471e-01 -3.1218431519226819e+01
2.3352014454163112e+14 8.8615896128592986e-01 -3.3923795881515844e+01
2.3447787366192175e+14 8.7356332156541372e-01 -3.6629249481652600e+01
2.3543560278221238e+14 8.6068813654841803e-01 -3.9334741895806317e+01
2.3639333190250300e+14 8.4750352959365716e-01 -4.2040203007003228e+01
2.3735106102279362e+14 8.3403711687033777e-01 -4.4745514784931089e+01
2.3830879014308425e+14 8.2038275382618486e-01 -4.7450601590328795e+01
("Port 2","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 7.3274262296604831e-04 2.5964300695110025e+00
2.2106966597785303e+14 7.3026397532924422e-04 2.1970839991385942e+00
2.2202739509814366e+14 7.9070515504203374e-04 1.2050981762933557e+00
2.2298512421843428e+14 9.5894991710467157e-04 7.5199794193404434e-01
2.2394285333872491e+14 6.6725271309202652e-04 1.5365195773701008e-02
2.2490058245901553e+14 9.0459549715301039e-04 -1.0770044374417300e+00
2.2585831157930616e+14 9.0187401844472599e-04 -1.8189416791806421e+00
2.2681604069959678e+14 1.2743911824010835e-03 -3.0606996105280824e+00
2.2777376981988741e+14 1.9534674728723905e-03 -3.5991309849570814e+00
2.2873149894017803e+14 1.9423279895433526e-03 -4.2109137027487922e+00
2.2918744246397328e+14 2.4901778867760412e-03 -1.4948884560514757e+00
2.2923328453667334e+14 2.5256536936853662e-03 -1.2380622114294699e+00
2.2968922806046862e+14 2.4203825818765469e-03 1.3564005635649676e+00
2.3064695718075925e+14 2.7863001888534054e-03 9.7401891090297965e-01
2.3160468630104988e+14 2.3787598372807220e-03 4.7236552274933280e-01
2.3256241542134050e+14 2.3506733776608303e-03 -2.5792020683963773e-01
2.3352014454163112e+14 2.2204660236779840e-03 -8.0659562644375538e-01
2.3447787366192175e+14 1.6357932534649378e-03 -1.6903375260849447e+00
2.3543560278221238e+14 2.0233087364184806e-03 -2.6996135308210860e+00
2.3639333190250300e+14 2.2988311181325210e-03 -3.4248398000068843e+00
2.3735106102279362e+14 2.8386578563054836e-03 -4.2270804658301095e+00
2.3830879014308425e+14 3.6684158539227450e-03 -4.7638640738613764e+00
("Port 2","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 5.7721766736000034e-03 2.4430905915395269e+00
2.2106966597785303e+14 1.1014116460623670e-02 2.8637454063640395e+00
2.2202739509814366e+14 8.1753911659266220e-03 3.3266794619226583e+00
2.2298512421843428e+14 6.0962711270305507e-04 5.1633558317639867e+00
2.2394285333872491e+14 5.5398564444143622e-03 7.1848306311407297e+00
2.2490058245901553e+14 4.3655471220902442e-03 7.6893215610494954e+00
