

frequency(GHz), Y
0, 0
0.03, -0.000612132
0.06, -0.00113117
0.09, -0.00155707
0.12, -0.00188981
0.15, -0.0021294
0.18, -0.00227587
0.21, -0.00232923
0.24, -0.00228956
0.27, -0.00215693
0.3, -0.00193144
0.33, -0.0016132
0.36, -0.00120235
0.39, -0.000699041
0.42, -0.000103444
0.45, 0.000584244
0.48, 0.00136381
0.51, 0.00223502
0.54, 0.00319762
0.57, 0.00425133
0.6, 0.00539586
0.63, 0.00663089
0.66, 0.00795608
0.69, 0.00937107
0.72, 0.0108755
0.75, 0.0124689
0.78, 0.0141509
0.81, 0.015921
0.84, 0.0177788
0.87, 0.0197237
0.9, 0.0217552
0.93, 0.0238728
0.96, 0.0260759
0.99, 0.0283639
1.02, 0.0307362
1.05, 0.033192
1.08, 0.0357307
1.11, 0.0383517
1.14, 0.041054
1.17, 0.0438371
1.2, 0.0467
1.23, 0.0496419
1.26, 0.052662
1.29, 0.0557593
1.32, 0.0589329
1.35, 0.0621818
1.38, 0.065505
1.41, 0.0689015
1.44, 0.0723702
1.47, 0.0759099
1.5, 0.0795196
1.53, 0.0831979
1.56, 0.0869436
1.59, 0.0907555
1.62, 0.0946322
1.65, 0.0985723
1.68, 0.102574
1.71, 0.106637
1.74, 0.110759
1.77, 0.114938
1.8, 0.119173
1.83, 0.123462
1.86, 0.127804
1.89, 0.132196
1.92, 0.136637
1.95, 0.141125
1.98, 0.145658
2.01, 0.150234
2.04, 0.15485
2.07, 0.159506
2.1, 0.164198
2.13, 0.168924
2.16, 0.173682
2.19, 0.17847
2.22, 0.183284
2.25, 0.188123
2.28, 0.192984
2.31, 0.197865
2.34, 0.202761
2.37, 0.207671
2.4, 0.212592
2.43, 0.21752
2.46, 0.222453
2.49, 0.227386
2.52, 0.232318
2.55, 0.237245
2.58, 0.242163
2.61, 0.247068
2.64, 0.251957
2.67, 0.256827
2.7, 0.261672
2.73, 0.266491
2.76, 0.271278
2.79, 0.276029
2.82, 0.28074
2.85, 0.285407
2.88, 0.290025
2.91, 0.29459
2.94, 0.299097
2.97, 0.303541
3, 0.307917
3.03, 0.312221
3.06, 0.316447
3.09, 0.32059
3.12, 0.324645
3.15, 0.328606
3.18, 0.332468
3.21, 0.336224
3.24, 0.33987
3.27, 0.343399
3.3, 0.346805
3.33, 0.350082
3.36, 0.353224
3.39, 0.356224
3.42, 0.359076
3.45, 0.361774
3.48, 0.364309
3.51, 0.366676
3.54, 0.368868
3.57, 0.370878
3.6, 0.372697
3.63, 0.37432
3.66, 0.375738
3.69, 0.376945
3.72, 0.377932
3.75, 0.378691
3.78, 0.379216
3.81, 0.379498
3.84, 0.37953
3.87, 0.379302
3.9, 0.378808
3.93, 0.378038
3.96, 0.376985
3.99, 0.37564
4.02, 0.373996
4.05, 0.372043
4.08, 0.369773
4.11, 0.367177
4.14, 0.364248
4.17, 0.360977
4.2, 0.357355
4.23, 0.353374
4.26, 0.349024
4.29, 0.344299
4.32, 0.339189
4.35, 0.333686
4.38, 0.327781
4.41, 0.321467
4.44, 0.314735
4.47, 0.307577
4.5, 0.299986
4.53, 0.291952
4.56, 0.283469
4.59, 0.274529
4.62, 0.265124
4.65, 0.255247
4.68, 0.244892
4.71, 0.234051
4.74, 0.222717
4.77, 0.210884
4.8, 0.198546
4.83, 0.185696
4.86, 0.17233
4.89, 0.158441
4.92, 0.144025
4.95, 0.129077
4.98, 0.113592
5.01, 0.0963744
5.04, 0.076203
5.07, 0.0554435
5.1, 0.0340908
5.13, 0.0121407
5.16, -0.0104109
5.19, -0.0335677
5.22, -0.0573326
5.25, -0.0817082
5.28, -0.106697
5.31, -0.1323
5.34, -0.158518
5.37, -0.185352
5.4, -0.212802
5.43, -0.240868
5.46, -0.269547
5.49, -0.298839
5.52, -0.32874
5.55, -0.359249
5.58, -0.39036
5.61, -0.422071
5.64, -0.454376
5.67, -0.48727
5.7, -0.520747
5.73, -0.554799
5.76, -0.589421
5.79, -0.624604
5.82, -0.66034
5.85, -0.696619
5.88, -0.733432
5.91, -0.770768
5.94, -0.808618
5.97, -0.846969
6, -0.885809
6.03, -0.925127
6.06, -0.964909
6.09, -1.00514
6.12, -1.04581
6.15, -1.0869
6.18, -1.1284
6.21, -1.17029
6.24, -1.21256
6.27, -1.25519
6.3, -1.29816
6.33, -1.34146
6.36, -1.38507
6.39, -1.42897
6.42, -1.47315
6.45, -1.51758
6.48, -1.56225
6.51, -1.60714
6.54, -1.65223
6.57, -1.69751
6.6, -1.74294
6.63, -1.78853
6.66, -1.83424
6.69, -1.88005
6.72, -1.92595
6.75, -1.97192
6.78, -2.01794
6.81, -2.06399
6.84, -2.11005
6.87, -2.1561
6.9, -2.20212
6.93, -2.2481
6.96, -2.29401
6.99, -2.33984
7.02, -2.38556
7.05, -2.43117
7.08, -2.47664
7.11, -2.52195
7.14, -2.56709
7.17, -2.61204
7.2, -2.65678
7.23, -2.7013
7.26, -2.74558
7.29, -2.7896
7.32, -2.83335
7.35, -2.87682
7.38, -2.91998
7.41, -2.96283
7.44, -3.00535
7.47, -3.04752
7.5, -3.08934
7.53, -3.13079
7.56, -3.17185
7.59, -3.21252
7.62, -3.25279
7.65, -3.29263
7.68, -3.33205
7.71, -3.37103
7.74, -3.40956
7.77, -3.44763
7.8, -3.48523
7.83, -3.52236
7.86, -3.559
7.89, -3.59515
7.92, -3.6308
7.95, -3.66594
7.98, -3.70057
8.01, -3.73468
8.04, -3.76826
8.07, -3.80131
8.1, -3.83383
8.13, -3.8658
8.16, -3.89723
8.19, -3.92811
8.22, -3.95844
8.25, -3.98822
8.28, -4.01744
8.31, -4.04609
8.34, -4.07419
8.37, -4.10172
8.4, -4.12868
8.43, -4.15508
8.46, -4.18091
8.49, -4.20617
8.52, -4.23087
8.55, -4.25499
8.58, -4.27855
8.61, -4.30154
8.64, -4.32397
8.67, -4.34583
8.7, -4.36713
8.73, -4.38787
8.76, -4.40805
8.79, -4.42767
8.82, -4.44673
8.85, -4.46524
8.88, -4.4832
8.91, -4.50061
8.94, -4.51748
8.97, -4.53381
9, -4.54959
9.03, -4.56484
9.06, -4.57956
9.09, -4.59375
9.12, -4.60742
9.15, -4.62057
9.18, -4.63319
9.21, -4.64531
9.24, -4.65692
9.27, -4.66802
9.3, -4.67862
9.33, -4.68873
9.36, -4.69834
9.39, -4.70747
9.42, -4.71611
9.45, -4.72428
9.48, -4.73197
9.51, -4.73919
9.54, -4.74595
9.57, -4.75225
9.6, -4.75809
9.63, -4.76348
9.66, -4.76842
9.69, -4.77292
9.72, -4.77698
9.75, -4.78061
9.78, -4.78381
9.81, -4.78659
9.84, -4.78895
9.87, -4.79089
9.9, -4.79242
9.93, -4.79355
9.96, -4.79427
9.99, -4.7946
10.02, -4.79366
10.05, -4.79191
10.08, -4.78979
10.11, -4.7873
10.14, -4.78444
10.17, -4.78122
10.2, -4.77764
10.23, -4.77371
10.26, -4.76943
10.29, -4.76481
10.32, -4.75984
10.35, -4.75454
10.38, -4.74891
10.41, -4.74295
10.44, -4.73667
10.47, -4.73007
10.5, -4.72315
10.53, -4.71592
10.56, -4.70838
10.59, -4.70053
10.62, -4.69238
10.65, -4.68393
10.68, -4.67519
10.71, -4.66616
