

frequency(GHz), Y
10.74, -4.65684
10.77, -4.64724
10.8, -4.63735
10.83, -4.62718
10.86, -4.61674
10.89, -4.60603
10.92, -4.59505
10.95, -4.5838
10.98, -4.57229
11.01, -4.56052
11.04, -4.54849
11.07, -4.53621
11.1, -4.52368
11.13, -4.5109
11.16, -4.49787
11.19, -4.4846
11.22, -4.47108
11.25, -4.45733
11.28, -4.44335
11.31, -4.42913
11.34, -4.41468
11.37, -4.4
11.4, -4.3851
11.43, -4.36997
11.46, -4.35463
11.49, -4.33906
11.52, -4.32328
11.55, -4.30729
11.58, -4.29109
11.61, -4.27467
11.64, -4.25806
11.67, -4.24123
11.7, -4.22421
11.73, -4.20699
11.76, -4.18957
11.79, -4.17196
11.82, -4.15416
11.85, -4.13616
11.88, -4.11798
11.91, -4.09962
11.94, -4.08107
11.97, -4.06235
12, -4.04344
12.03, -4.02437
12.06, -4.00512
12.09, -3.9857
12.12, -3.96612
12.15, -3.94637
12.18, -3.92646
12.21, -3.90639
12.24, -3.88617
12.27, -3.86579
12.3, -3.84527
12.33, -3.82459
12.36, -3.80378
12.39, -3.78282
12.42, -3.76172
12.45, -3.7405
12.48, -3.71913
12.51, -3.69765
12.54, -3.67603
12.57, -3.6543
12.6, -3.63245
12.63, -3.61049
12.66, -3.58842
12.69, -3.56624
12.72, -3.54396
12.75, -3.52158
12.78, -3.49911
12.81, -3.47656
12.84, -3.45391
12.87, -3.43119
12.9, -3.4084
12.93, -3.38553
12.96, -3.3626
12.99, -3.33961
13.02, -3.31656
13.05, -3.29347
13.08, -3.27033
13.11, -3.24716
13.14, -3.22395
13.17, -3.20072
13.2, -3.17747
13.23, -3.15421
13.26, -3.13094
13.29, -3.10768
13.32, -3.08442
13.35, -3.06118
13.38, -3.03795
13.41, -3.01476
13.44, -2.99161
13.47, -2.9685
13.5, -2.94545
13.53, -2.92246
13.56, -2.89954
13.59, -2.8767
13.62, -2.85395
13.65, -2.8313
13.68, -2.80876
13.71, -2.78633
13.74, -2.76403
13.77, -2.74187
13.8, -2.71986
13.83, -2.698
13.86, -2.67632
13.89, -2.65481
13.92, -2.6335
13.95, -2.61239
13.98, -2.5915
14.01, -2.57083
14.04, -2.5504
14.07, -2.53022
14.1, -2.5103
14.13, -2.49066
14.16, -2.47131
14.19, -2.45226
14.22, -2.43353
14.25, -2.41512
14.28, -2.39706
14.31, -2.37935
14.34, -2.36201
14.37, -2.34506
14.4, -2.3285
14.43, -2.31235
14.46, -2.29663
14.49, -2.28134
14.52, -2.26651
14.55, -2.25214
14.58, -2.23826
14.61, -2.22487
14.64, -2.212
14.67, -2.19964
14.7, -2.18783
14.73, -2.17656
14.76, -2.16587
14.79, -2.15575
14.82, -2.14622
14.85, -2.1373
14.88, -2.129
14.91, -2.12133
14.94, -2.1143
14.97, -2.10794
15, -2.10224
15.03, -2.09766
15.06, -2.09377
15.09, -2.09056
15.12, -2.08803
15.15, -2.08621
15.18, -2.08509
15.21, -2.08469
15.24, -2.085
15.27, -2.08604
15.3, -2.08781
15.33, -2.09031
15.36, -2.09355
15.39, -2.09754
15.42, -2.10227
15.45, -2.10774
15.48, -2.11397
15.51, -2.12094
15.54, -2.12867
15.57, -2.13714
15.6, -2.14637
15.63, -2.15634
15.66, -2.16706
15.69, -2.17852
15.72, -2.19072
15.75, -2.20365
15.78, -2.21732
15.81, -2.23171
15.84, -2.24682
15.87, -2.26264
15.9, -2.27916
15.93, -2.29639
15.96, -2.3143
15.99, -2.33289
16.02, -2.35216
16.05, -2.37208
16.08, -2.39265
16.11, -2.41386
16.14, -2.4357
16.17, -2.45815
16.2, -2.48121
16.23, -2.50485
16.26, -2.52907
16.29, -2.55385
16.32, -2.57917
16.35, -2.60503
16.38, -2.63141
16.41, -2.65829
16.44, -2.68566
16.47, -2.7135
16.5, -2.74179
16.53, -2.77053
16.56, -2.79968
16.59, -2.82925
16.62, -2.8592
16.65, -2.88953
16.68, -2.92021
16.71, -2.95123
16.74, -2.98257
16.77, -3.01422
16.8, -3.04616
16.83, -3.07836
16.86, -3.11082
16.89, -3.14352
16.92, -3.17644
16.95, -3.20956
16.98, -3.24287
17.01, -3.27634
17.04, -3.30997
17.07, -3.34374
17.1, -3.37762
17.13, -3.41162
17.16, -3.44569
17.19, -3.47984
17.22, -3.51405
17.25, -3.5483
17.28, -3.58258
17.31, -3.61686
17.34, -3.65115
17.37, -3.68542
17.4, -3.71965
17.43, -3.75384
17.46, -3.78797
17.49, -3.82202
17.52, -3.85599
17.55, -3.88987
17.58, -3.92362
17.61, -3.95726
17.64, -3.99076
17.67, -4.02411
17.7, -4.0573
17.73, -4.09032
17.76, -4.12316
17.79, -4.15581
17.82, -4.18826
17.85, -4.22049
17.88, -4.2525
17.91, -4.28428
17.94, -4.31581
17.97, -4.3471
18, -4.37812
18.03, -4.40888
18.06, -4.43937
18.09, -4.46956
18.12, -4.49947
18.15, -4.52908
18.18, -4.55839
18.21, -4.58738
18.24, -4.61605
18.27, -4.6444
18.3, -4.67241
18.33, -4.70009
18.36, -4.72743
18.39, -4.75441
18.42, -4.78104
18.45, -4.80732
18.48, -4.83323
18.51, -4.85877
18.54, -4.88394
18.57, -4.90874
18.6, -4.93315
18.63, -4.95719
18.66, -4.98083
18.69, -5.00409
18.72, -5.02695
18.75, -5.04941
18.78, -5.07148
18.81, -5.09315
18.84, -5.11441
18.87, -5.13526
18.9, -5.15571
18.93, -5.17575
18.96, -5.19538
18.99, -5.21459
19.02, -5.23339
19.05, -5.25178
19.08, -5.26975
19.11, -5.2873
19.14, -5.30443
19.17, -5.32114
19.2, -5.33744
19.23, -5.35331
19.26, -5.36877
19.29, -5.3838
19.32, -5.39841
19.35, -5.41261
19.38, -5.42638
19.41, -5.43973
19.44, -5.45266
19.47, -5.46518
19.5, -5.47727
19.53, -5.48895
19.56, -5.50021
19.59, -5.51105
19.62, -5.52147
19.65, -5.53148
19.68, -5.54108
19.71, -5.55027
19.74, -5.55904
19.77, -5.5674
19.8, -5.57536
19.83, -5.5829
19.86, -5.59004
19.89, -5.59678
19.92, -5.60311
19.95, -5.60904
19.98, -5.61457
20.01, -5.61945
20.04, -5.62341
20.07, -5.627
20.1, -5.63021
20.13, -5.63304
20.16, -5.6355
20.19, -5.6376
20.22, -5.63932
20.25, -5.64068
20.28, -5.64167
20.31, -5.6423
20.34, -5.64257
20.37, -5.64249
20.4, -5.64206
20.43, -5.64127
20.46, -5.64013
20.49, -5.63865
20.52, -5.63682
20.55, -5.63466
20.58, -5.63215
20.61, -5.62931
20.64, -5.62614
20.67, -5.62264
20.7, -5.6188
20.73, -5.61465
20.76, -5.61017
20.79, -5.60537
20.82, -5.60026
20.85, -5.59483
20.88, -5.58909
20.91, -5.58305
20.94, -5.57669
20.97, -5.57004
21, -5.56309
21.03, -5.55584
21.06, -5.5483
21.09, -5.54046
21.12, -5.53234
21.15, -5.52394
21.18, -5.51525
21.21, -5.50628
21.24, -5.49704
21.27, -5.48753
21.3, -5.47775
21.33, -5.4677
21.36, -5.45739
21.39, -5.44682
21.42, -5.436
21.45, -5.42492
21.48, -5.41359
21.51, -5.40202
21.54, -5.3902
21.57, -5.37814
21.6, -5.36585
21.63, -5.35332
21.66, -5.34057
21.69, -5.32759
21.72, -5.31438
21.75, -5.30096
21.78, -5.28733
21.81, -5.27348
21.84, -5.25943
21.87, -5.24517
21.9, -5.23071
21.93, -5.21606
21.96, -5.20121
21.99, -5.18618
22.02, -5.17096
22.05, -5.15556
22.08, -5.13999
22.11, -5.12425
22.14, -5.10834
22.17, -5.09226
22.2, -5.07603
22.23, -5.05964
22.26, -5.04311
22.29, -5.02642
22.32, -5.0096
22.35, -4.99264
22.38, -4.97556
22.41, -4.95834
22.44, -4.941
22.47, -4.92355
22.5, -4.90599
22.53, -4.88832
22.56, -4.87055
22.59, -4.85268
22.62, -4.83473
22.65, -4.81669
22.68, -4.79857
22.71, -4.78038
22.74, -4.76212
22.77, -4.74379
22.8, -4.72542
22.83, -4.70699
22.86, -4.68851
22.89, -4.67
22.92, -4.65146
22.95, -4.6329
22.98, -4.61431
23.01, -4.59571
23.04, -4.57711
23.07, -4.55851
23.1, -4.53992
23.13, -4.52134
23.16, -4.50278
23.19, -4.48425
23.22, -4.46576
23.25, -4.44731
23.28, -4.42892
23.31, -4.41058
23.34, -4.39231
23.37, -4.37411
23.4, -4.35599
23.43, -4.33796
23.46, -4.32003
23.49, -4.30221
23.52, -4.28449
23.55, -4.2669
23.58, -4.24944
23.61, -4.23211
23.64, -4.21494
23.67, -4.19791
23.7, -4.18105
23.73, -4.16436
23.76, -4.14785
23.79, -4.13153
23.82, -4.11541
23.85, -4.09949
23.88, -4.08379
23.91, -4.06831
23.94, -4.05306
23.97, -4.03806
24, -4.0233
24.03, -4.0088
24.06, -3.99457
24.09, -3.98061
24.12, -3.96694
24.15, -3.95357
24.18, -3.94049
24.21, -3.92773
24.24, -3.91528
24.27, -3.90316
24.3, -3.89138
24.33, -3.87994
24.36, -3.86886
24.39, -3.85813
24.42, -3.84777
24.45, -3.83779
24.48, -3.8282
24.51, -3.81899
24.54, -3.81019
24.57, -3.80179
24.6, -3.7938
24.63, -3.78624
24.66, -3.7791
24.69, -3.77239
24.72, -3.76613
24.75, -3.76031
24.78, -3.75495
24.81, -3.75004
24.84, -3.74559
24.87, -3.74161
24.9, -3.73811
24.93, -3.73508
24.96, -3.73254
24.99, -3.73048
25.02, -3.72929
25.05, -3.72876
25.08, -3.72872
25.11, -3.72917
25.14, -3.73011
25.17, -3.73154
25.2, -3.73346
25.23, -3.73587
25.26, -3.73878
25.29, -3.74218
25.32, -3.74607
25.35, -3.75045
25.38, -3.75533
25.41, -3.76069
25.44, -3.76655
25.47, -3.77289
25.5, -3.77971
25.53, -3.78702
25.56, -3.7948
25.59, -3.80306
25.62, -3.8118
25.65, -3.821
25.68, -3.83067
25.71, -3.84079
25.74, -3.85137
25.77, -3.8624
25.8, -3.87388
25.83, -3.8858
25.86, -3.89815
25.89, -3.91092
25.92, -3.92412
25.95, -3.93773
25.98, -3.95175
26.01, -3.96617
26.04, -3.98099
26.07, -3.99619
26.1, -4.01176
26.13, -4.02771
26.16, -4.04402
26.19, -4.06068
26.22, -4.07769
26.25, -4.09504
26.28, -4.11271
26.31, -4.1307
26.34, -4.14901
26.37, -4.16761
26.4, -4.1865
26.43, -4.20568
26.46, -4.22513
26.49, -4.24484
26.52, -4.26481
26.55, -4.28502
26.58, -4.30547
26.61, -4.32614
26.64, -4.34703
26.67, -4.36812
26.7, -4.38941
26.73, -4.41088
26.76, -4.43253
26.79, -4.45434
26.82, -4.47631
26.85, -4.49843
26.88, -4.52069
26.91, -4.54307
26.94, -4.56557
26.97, -4.58818
27, -4.61089
27.03, -4.63369
27.06, -4.65656
27.09, -4.67951
27.12, -4.70252
27.15, -4.72558
27.18, -4.74869
27.21, -4.77183
27.24, -4.79499
27.27, -4.81817
27.3, -4.84137
27.33, -4.86456
27.36, -4.88774
27.39, -4.9109
27.42, -4.93404
27.45, -4.95715
27.48, -4.98021
27.51, -5.00323
27.54, -5.02619
27.57, -5.04909
27.6, -5.07191
27.63, -5.09466
27.66, -5.11732
27.69, -5.13989
27.72, -5.16236
27.75, -5.18472
27.78, -5.20698
27.81, -5.22911
27.84, -5.25111
27.87, -5.27299
27.9, -5.29473
27.93, -5.31632
27.96, -5.33777
27.99, -5.35906
28.02, -5.38019
28.05, -5.40116
28.08, -5.42195
28.11, -5.44257
28.14, -5.46301
28.17, -5.48327
28.2, -5.50333
28.23, -5.52321
28.26, -5.54288
28.29, -5.56235
28.32, -5.58161
28.35, -5.60067
28.38, -5.6195
28.41, -5.63812
28.44, -5.65652
28.47, -5.6747
28.5, -5.69264
28.53, -5.71035
28.56, -5.72783
28.59, -5.74507
28.62, -5.76207
28.65, -5.77883
28.68, -5.79534
28.71, -5.8116
28.74, -5.82761
28.77, -5.84337
28.8, -5.85887
28.83, -5.87412
28.86, -5.8891
28.89, -5.90383
28.92, -5.91829
28.95, -5.93248
28.98, -5.94641
29.01, -5.96008
29.04, -5.97347
29.07, -5.98659
29.1, -5.99945
29.13, -6.01203
29.16, -6.02433
29.19, -6.03636
29.22, -6.04812
29.25, -6.0596
29.28, -6.0708
29.31, -6.08172
29.34, -6.09237
29.37, -6.10274
29.4, -6.11283
29.43, -6.12264
29.46, -6.13217
29.49, -6.14142
29.52, -6.15039
29.55, -6.15909
29.58, -6.1675
29.61, -6.17563
29.64, -6.18349
29.67, -6.19106
29.7, -6.19836
29.73, -6.20538
29.76, -6.21212
29.79, -6.21859
29.82, -6.22477
29.85, -6.23069
29.88, -6.23632
29.91, -6.24169
29.94, -6.24678
29.97, -6.25159



