

frequency(GHz), Y
0, 0
0.03, -0.000324522
0.06, -0.00061511
0.09, -0.000871687
0.12, -0.0010942
0.15, -0.00128261
0.18, -0.0014369
0.21, -0.00155708
0.24, -0.00164318
0.27, -0.00169524
0.3, -0.00171332
0.33, -0.00169752
0.36, -0.00164793
0.39, -0.0015647
0.42, -0.00144796
0.45, -0.00129788
0.48, -0.00111466
0.51, -0.000898493
0.54, -0.000649623
0.57, -0.000368295
0.6, -5.47828e-05
0.63, 0.000290622
0.66, 0.000667605
0.69, 0.00107583
0.72, 0.00151494
0.75, 0.00198456
0.78, 0.0024843
0.81, 0.00301372
0.84, 0.00357238
0.87, 0.00415983
0.9, 0.00477557
0.93, 0.0054191
0.96, 0.00608988
0.99, 0.00678736
1.02, 0.00751096
1.05, 0.00826009
1.08, 0.00903412
1.11, 0.00983241
1.14, 0.0106543
1.17, 0.011499
1.2, 0.012366
1.23, 0.0132544
1.26, 0.0141634
1.29, 0.0150924
1.32, 0.0160404
1.35, 0.0170066
1.38, 0.0179902
1.41, 0.0189903
1.44, 0.0200059
1.47, 0.0210362
1.5, 0.0220801
1.53, 0.0231367
1.56, 0.0242049
1.59, 0.0252837
1.62, 0.0263721
1.65, 0.0274689
1.68, 0.028573
1.71, 0.0296832
1.74, 0.0307984
1.77, 0.0319174
1.8, 0.0330389
1.83, 0.0341617
1.86, 0.0352845
1.89, 0.0364058
1.92, 0.0375245
1.95, 0.0386391
1.98, 0.0397483
2.01, 0.0408504
2.04, 0.0419442
2.07, 0.0430281
2.1, 0.0441006
2.13, 0.0451601
2.16, 0.046205
2.19, 0.0472338
2.22, 0.0482447
2.25, 0.0492362
2.28, 0.0502064
2.31, 0.0511537
2.34, 0.0520763
2.37, 0.0529724
2.4, 0.0538401
2.43, 0.0546776
2.46, 0.0554831
2.49, 0.0562545
2.52, 0.0569901
2.55, 0.0576876
2.58, 0.0583453
2.61, 0.058961
2.64, 0.0595326
2.67, 0.0600581
2.7, 0.0605353
2.73, 0.0609622
2.76, 0.0613364
2.79, 0.0616558
2.82, 0.0619182
2.85, 0.0621213
2.88, 0.0622628
2.91, 0.0623403
2.94, 0.0623516
2.97, 0.0622943
3, 0.062166
3.03, 0.0619642
3.06, 0.0616866
3.09, 0.0613306
3.12, 0.0608938
3.15, 0.0603737
3.18, 0.0597677
3.21, 0.0590734
3.24, 0.0582881
3.27, 0.0574092
3.3, 0.0564343
3.33, 0.0553606
3.36, 0.0541856
3.39, 0.0529066
3.42, 0.051521
3.45, 0.0500262
3.48, 0.0484193
3.51, 0.0466979
3.54, 0.0448592
3.57, 0.0429006
3.6, 0.0408193
3.63, 0.0386127
3.66, 0.0362781
3.69, 0.0338129
3.72, 0.0312143
3.75, 0.0284797
3.78, 0.0256065
3.81, 0.0225921
3.84, 0.0194337
3.87, 0.0161288
3.9, 0.0126747
3.93, 0.00906905
3.96, 0.0053091
3.99, 0.0013924
4.02, -0.00268357
4.05, -0.00692127
4.08, -0.0113231
4.11, -0.0158916
4.14, -0.020629
4.17, -0.0255376
4.2, -0.0306198
4.23, -0.0358778
4.26, -0.0413138
4.29, -0.0469299
4.32, -0.0527283
4.35, -0.0587108
4.38, -0.0648796
4.41, -0.0712365
4.44, -0.0777834
4.47, -0.084522
4.5, -0.0914541
4.53, -0.0985813
4.56, -0.105905
4.59, -0.113427
4.62, -0.121149
4.65, -0.129071
4.68, -0.137196
4.71, -0.145523
4.74, -0.154056
4.77, -0.162793
4.8, -0.171736
4.83, -0.180886
4.86, -0.190244
4.89, -0.19981
4.92, -0.209584
4.95, -0.219568
4.98, -0.22976
5.01, -0.241259
5.04, -0.255179
5.07, -0.269335
5.1, -0.283728
5.13, -0.298359
5.16, -0.313227
5.19, -0.328333
5.22, -0.343678
5.25, -0.359261
5.28, -0.375082
5.31, -0.391141
5.34, -0.407438
5.37, -0.423971
5.4, -0.440741
5.43, -0.457747
5.46, -0.474987
5.49, -0.49246
5.52, -0.510165
5.55, -0.5281
5.58, -0.546263
5.61, -0.564654
5.64, -0.583269
5.67, -0.602107
5.7, -0.621164
5.73, -0.64044
5.76, -0.65993
5.79, -0.679632
5.82, -0.699544
5.85, -0.719661
5.88, -0.73998
5.91, -0.760499
5.94, -0.781213
5.97, -0.802118
6, -0.823211
6.03, -0.844487
6.06, -0.865943
6.09, -0.887572
6.12, -0.909372
6.15, -0.931338
6.18, -0.953463
6.21, -0.975745
6.24, -0.998176
6.27, -1.02075
6.3, -1.04347
6.33, -1.06632
6.36, -1.0893
6.39, -1.1124
6.42, -1.13562
6.45, -1.15895
6.48, -1.18239
6.51, -1.20592
6.54, -1.22955
6.57, -1.25327
6.6, -1.27706
6.63, -1.30093
6.66, -1.32487
6.69, -1.34887
6.72, -1.37292
6.75, -1.39702
6.78, -1.42116
6.81, -1.44534
6.84, -1.46954
6.87, -1.49377
6.9, -1.51801
