["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2394285333872491e+14 9.2278198901849107e-01 7.1001775600111490e+00
2.2490058245901553e+14 9.2643122589201288e-01 9.1518210327486766e+00
2.2585831157930616e+14 9.2980298168120123e-01 1.1203349722243967e+01
2.2681604069959678e+14 9.3294138919961533e-01 1.3254794075519928e+01
2.2777376981988741e+14 9.3590458314607350e-01 1.5306179902414108e+01
2.2873149894017803e+14 9.3873249464405628e-01 1.7357485236511355e+01
2.2918744246397328e+14 9.4004335425052699e-01 1.8334009141134203e+01
2.2923328453667334e+14 9.4017394760442519e-01 1.8432190780976658e+01
2.2968922806046862e+14 9.4146016937540755e-01 1.9408687759328984e+01
2.3064695718075925e+14 9.4408459040775095e-01 2.1459769777365842e+01
2.3160468630104988e+14 9.4660037021229948e-01 2.3510725645345509e+01
2.3256241542134050e+14 9.4899284743973489e-01 2.5561565542408069e+01
2.3352014454163112e+14 9.5126268341712883e-01 2.7612313443213605e+01
2.3447787366192175e+14 9.5340544328540811e-01 2.9662995738694608e+01
2.3543560278221238e+14 9.5543591253642701e-01 3.1713638123209567e+01
2.3639333190250300e+14 9.5735667205009356e-01 3.3764272969819494e+01
2.3735106102279362e+14 9.5920333199904917e-01 3.5814907462341750e+01
2.3830879014308425e+14 9.6099798270589665e-01 3.7865551917135647e+01
("Port 1","mode 1",1,"Port 4",1,"transmission")
(22, 3)
2.2011193685756241e+14 4.1953622377531513e-01 4.6317774250019778e-01
2.2106966597785303e+14 4.0894821254924474e-01 2.5163349853249741e+00
2.2202739509814366e+14 3.9865351007796501e-01 4.5691591003571874e+00
2.2298512421843428e+14 3.8862564317995690e-01 6.6216668321623926e+00
2.2394285333872491e+14 3.7884673758839682e-01 8.6738950216073079e+00
2.2490058245901553e+14 3.6931026204842399e-01 1.0725882688951652e+01
2.2585831157930616e+14 3.6001397135707180e-01 1.2777687256531078e+01
2.2681604069959678e+14 3.5096537990518983e-01 1.4829331496282499e+01
2.2777376981988741e+14 3.4217155523797887e-01 1.6880825252069872e+01
2.2873149894017803e+14 3.3362550884257142e-01 1.8932141423519049e+01
2.2918744246397328e+14 3.2964179717265985e-01 1.9908641510609765e+01
2.2923328453667334e+14 3.2924418126579830e-01 2.0006819943946478e+01
2.2968922806046862e+14 3.2531768182370158e-01 2.0983278776696061e+01
2.3064695718075925e+14 3.1723211530224099e-01 2.3034260811968412e+01
2.3160468630104988e+14 3.0936158476189407e-01 2.5085123141666024e+01
2.3256241542134050e+14 3.0170189694856392e-01 2.7135900597652792e+01
2.3352014454163112e+14 2.9425473983216505e-01 2.9186619587409140e+01
2.3447787366192175e+14 2.8701681473606006e-01 3.1237292767672930e+01
2.3543560278221238e+14 2.7998685137837648e-01 3.3287932306083590e+01
2.3639333190250300e+14 2.7315962912619424e-01 3.5338565074028438e+01
2.3735106102279362e+14 2.6654165472666985e-01 3.7389184056742529e+01
2.3830879014308425e+14 2.6013090872168387e-01 3.9439757767354870e+01
("Port 2","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 7.3141767115937140e-04 1.1451583054876813e+00
2.2106966597785303e+14 7.4370409241780516e-04 3.6843865082732030e+00
2.2202739509814366e+14 6.6192547839036124e-04 6.1876399060256597e+00
2.2298512421843428e+14 5.8505857198677821e-04 8.7376060983190396e+00
2.2394285333872491e+14 4.9223261430479789e-04 1.1237396885754043e+01
2.2490058245901553e+14 3.6184723515362438e-04 1.3859339951771748e+01
2.2585831157930616e+14 3.2918744041692346e-04 1.6767723991170186e+01
2.2681604069959678e+14 4.4417677649147584e-04 1.9412265652022835e+01
2.2777376981988741e+14 5.4325016525916844e-04 2.1696851924203003e+01
2.2873149894017803e+14 5.3154449973881631e-04 2.3841794136619189e+01
2.2918744246397328e+14 4.8098977331998105e-04 2.4846531995324607e+01
2.2923328453667334e+14 4.7436254948058856e-04 2.4947565551450232e+01
2.2968922806046862e+14 3.9454100640638686e-04 2.5958759951733409e+01
2.3064695718075925e+14 1.7347253725323334e-04 2.8294914126639462e+01
2.3160468630104988e+14 1.4287941399101570e-04 2.5941198355548199e+01
2.3256241542134050e+14 3.2833805138893734e-04 2.8402475226102808e+01
2.3352014454163112e+14 4.3050739066158761e-04 3.0583702539515617e+01
2.3447787366192175e+14 4.3986314520940583e-04 3.2798070704168403e+01
2.3543560278221238e+14 3.9397320441907411e-04 3.5042387676899203e+01
2.3639333190250300e+14 2.6265949915130497e-04 3.7274038541900161e+01
2.3735106102279362e+14 9.1518071084892747e-05 3.4229330239738289e+01
2.3830879014308425e+14 2.5712963417117817e-04 3.1172478963648235e+01
("Port 2","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 1.1707269836375230e-03 -5.6717702367290201e-01
2.2106966597785303e+14 1.1716458023629868e-03 2.3005312642970037e+00
2.2202739509814366e+14 1.0248850435733135e-03 4.4156773191651535e+00
2.2298512421843428e+14 1.4254260337843384e-03 7.2744233635025495e+00
2.2394285333872491e+14 1.8671565038376578e-03 8.7850814609449870e+00
2.2490058245901553e+14 1.1873186261479537e-03 9.3574232503994850e+00
2.2585831157930616e+14 1.8033158127324159e-03 9.8783229864717192e+00
2.2681604069959678e+14 1.9430205218425455e-03 1.1386068557646931e+01
2.2777376981988741e+14 1.3791602335768004e-03 1.3299499880153112e+01
2.2873149894017803e+14 6.9413226894576906e-04 1.5811330474963318e+01
2.2918744246397328e+14 7.4843361070974738e-04 1.7296624440529044e+01
2.2923328453667334e+14 7.7001960342532321e-04 1.7424869867045675e+01
2.2968922806046862e+14 9.9081980305905110e-04 1.8465906264476093e+01
2.3064695718075925e+14 8.9695497825750836e-04 1.9788247148228116e+01
2.3160468630104988e+14 1.0409783590192463e-03 1.9984372313461670e+01
2.3256241542134050e+14 1.9859884283983491e-03 2.1151053945914725e+01
2.3352014454163112e+14 2.3976396604709939e-03 2.2707753195136686e+01
2.3447787366192175e+14 1.9580946933830065e-03 2.4181908175986102e+01
2.3543560278221238e+14 8.4599169327583164e-04 2.4923238919818917e+01
2.3639333190250300e+14 1.2456379683134229e-03 2.4957684514671335e+01
2.3735106102279362e+14 1.1592164247548988e-03 2.6183165191319279e+01
2.3830879014308425e+14 1.5816042200199692e-04 2.6508207595648930e+01
("Port 2","mode 1",1,"Port 3",1,"transmission")
(22, 3)
2.2011193685756241e+14 4.1953631893898480e-01 4.6317761436912935e-01
2.2106966597785303e+14 4.0894827970809683e-01 2.5163348133309356e+00
2.2202739509814366e+14 3.9865357679941466e-01 4.5691588737968889e+00
2.2298512421843428e+14 3.8862569078047904e-01 6.6216666457894116e+00
2.2394285333872491e+14 3.7884677015339202e-01 8.6738948159132168e+00
2.2490058245901553e+14 3.6931028908997904e-01 1.0725882533919476e+01
2.2585831157930616e+14 3.6001397996861056e-01 1.2777687082112365e+01
2.2681604069959678e+14 3.5096540317886271e-01 1.4829331292172963e+01
2.2777376981988741e+14 3.4217159373587158e-01 1.6880825070606488e+01
2.2873149894017803e+14 3.3362555292148111e-01 1.8932141305553028e+01
2.2918744246397328e+14 3.2964183937469493e-01 1.9908641421457983e+01
2.2923328453667334e+14 3.2924422334753345e-01 2.0006819857266059e+01
2.2968922806046862e+14 3.2531772501011763e-01 2.0983278714195698e+01
2.3064695718075925e+14 3.1723216916624081e-01 2.3034260841730145e+01
2.3160468630104988e+14 3.0936163490773011e-01 2.5085123317861115e+01
2.3256241542134050e+14 3.0170190699963234e-01 2.7135900887279469e+01
2.3352014454163112e+14 2.9425471412800308e-01 2.9186619790327114e+01
2.3447787366192175e+14 2.8701680332287960e-01 3.1237292951277517e+01
2.3543560278221238e+14 2.7998681105698586e-01 3.3287932527855439e+01
2.3639333190250300e+14 2.7315957827259263e-01 3.5338565200385325e+01
2.3735106102279362e+14 2.6654160946989558e-01 3.7389184127766406e+01
2.3830879014308425e+14 2.6013089462282479e-01 3.9439757731138712e+01
("Port 2","mode 1",1,"Port 4",1,"transmission")
(22, 3)
2.2011193685756241e+14 9.0505622360876570e-01 -1.1084019739395155e+00
2.2106966597785303e+14 9.0997704426767045e-01 9.4410454027373103e-01
2.2202739509814366e+14 9.1456831806425354e-01 2.9963525473229109e+00
2.2298512421843428e+14 9.1883451752495882e-01 5.0483657430482438e+00
2.2394285333872491e+14 9.2278195579574451e-01 7.1001777129385806e+00
2.2490058245901553e+14 9.2643117592081614e-01 9.1518211515481198e+00
2.2585831157930616e+14 9.2980297940577894e-01 1.1203349868746320e+01
2.2681604069959678e+14 9.3294137214337880e-01 1.3254794246057527e+01
2.2777376981988741e+14 9.3590455619478963e-01 1.5306180038676825e+01
2.2873149894017803e+14 9.3873248110961738e-01 1.7357485309591343e+01
2.2918744246397328e+14 9.4004335803586170e-01 1.8334009194086399e+01
2.2923328453667334e+14 9.4017395287063255e-01 1.8432190832676710e+01
2.2968922806046862e+14 9.4146018190600156e-01 1.9408687802330942e+01
2.3064695718075925e+14 9.4408458582782229e-01 2.1459769777045892e+01
2.3160468630104988e+14 9.4660037421130561e-01 2.3510725557939068e+01
2.3256241542134050e+14 9.4899295159835473e-01 2.5561565395713316e+01
2.3352014454163112e+14 9.5126285861270099e-01 2.7612313420306670e+01
2.3447787366192175e+14 9.5340551872053059e-01 2.9662995749750749e+01
2.3543560278221238e+14 9.5543603877938432e-01 3.1713638091133078e+01
2.3639333190250300e+14 9.5735681272049844e-01 3.3764273016936713e+01
2.3735106102279362e+14 9.5920346440362469e-01 3.5814907541637552e+01
2.3830879014308425e+14 9.6099803895812819e-01 3.7865552066338466e+01
("Port 3","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 9.0503141921152119e-01 -1.1084651824410476e+00
2.2106966597785303e+14 9.0995342935329648e-01 9.4405754822514387e-01
2.2202739509814366e+14 9.1455238811674655e-01 2.9963128873784295e+00
2.2298512421843428e+14 9.1882114751791366e-01 5.0483418698871940e+00
2.2394285333872491e+14 9.2277289370142535e-01 7.1001580093863144e+00
2.2490058245901553e+14 9.2642636046892757e-01 9.1518140447752359e+00
2.2585831157930616e+14 9.2979926536788715e-01 1.1203342187567209e+01
2.2681604069959678e+14 9.3294345398618561e-01 1.3254792688607717e+01
2.2777376981988741e+14 9.3590317689893354e-01 1.5306176563848839e+01
2.2873149894017803e+14 9.3873496265555134e-01 1.7357482733514612e+01
2.2918744246397328e+14 9.4004323824900515e-01 1.8334008054455744e+01
2.2923328453667334e+14 9.4017348044593763e-01 1.8432189609329015e+01
2.2968922806046862e+14 9.4145737632809268e-01 1.9408683676336135e+01
2.3064695718075925e+14 9.4408499144333380e-01 2.1459763519668165e+01
2.3160468630104988e+14 9.4659377309782977e-01 2.3510718249278870e+01
2.3256241542134050e+14 9.4898779733102123e-01 2.5561549104319148e+01
2.3352014454163112e+14 9.5125174451140626e-01 2.7612294489465210e+01
2.3447787366192175e+14 9.5339108729412536e-01 2.9662961569971383e+01
2.3543560278221238e+14 9.5541702285405494e-01 3.1713596977274968e+01
2.3639333190250300e+14 9.5733083764391913e-01 3.3764215254630741e+01
2.3735106102279362e+14 9.5917172086209868e-01 3.5814842510337115e+01
2.3830879014308425e+14 9.6095424383624084e-01 3.7865471715511212e+01
("Port 3","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 4.1951946590734807e-01 4.6311717543899938e-01
2.2106966597785303e+14 4.0893482569967521e-01 2.5162916753635560e+00
