

wavelength(nm), Y
1355.61, 0.0782642
1355.59, 0.077929
1355.57, 0.0775949
1355.55, 0.077262
1355.52, 0.0769302
1355.5, 0.0765997
1355.48, 0.0762705
1355.46, 0.0759425
1355.43, 0.0756158
1355.41, 0.0752903
1355.39, 0.0749661
1355.37, 0.0746431
1355.34, 0.0743213
1355.32, 0.0740007
1355.3, 0.0736811
1355.28, 0.0733626
1355.26, 0.0730451
1355.23, 0.0727285
1355.21, 0.0724128
1355.19, 0.0720979
1355.17, 0.0717837
1355.14, 0.0714703
1355.12, 0.0711575
1355.1, 0.0708454
1355.08, 0.0705338
1355.05, 0.0702227
1355.03, 0.0699122
1355.01, 0.0696023
1354.99, 0.0692928
1354.97, 0.0689839
1354.94, 0.0686755
1354.92, 0.0683677
1354.9, 0.0680605
1354.88, 0.067754
1354.85, 0.0674482
1354.83, 0.0671432
1354.81, 0.0668391
1354.79, 0.0665359
1354.76, 0.0662338
1354.74, 0.0659328
1354.72, 0.0656331
1354.7, 0.0653347
1354.68, 0.0650378
1354.65, 0.0647423
1354.63, 0.0644485
1354.61, 0.0641565
1354.59, 0.0638663
1354.56, 0.063578
1354.54, 0.0632917
1354.52, 0.0630074
1354.5, 0.0627253
1354.48, 0.0624454
1354.45, 0.0621678
1354.43, 0.0618924
1354.41, 0.0616194
1354.39, 0.0613488
1354.36, 0.0610805
1354.34, 0.0608147
1354.32, 0.0605512
1354.3, 0.0602901
1354.27, 0.0600314
1354.25, 0.0597751
1354.23, 0.0595211
1354.21, 0.0592694
1354.19, 0.05902
1354.16, 0.0587728
1354.14, 0.0585279
1354.12, 0.0582852
1354.1, 0.0580446
1354.07, 0.0578062
1354.05, 0.0575699
1354.03, 0.0573356
1354.01, 0.0571034
1353.99, 0.0568733
1353.96, 0.0566452
1353.94, 0.0564192
1353.92, 0.0561951
1353.9, 0.0559732
1353.87, 0.0557532
1353.85, 0.0555354
1353.83, 0.0553196
1353.81, 0.055106
1353.79, 0.0548946
1353.76, 0.0546854
1353.74, 0.0544784
1353.72, 0.0542737
1353.7, 0.0540714
1353.67, 0.0538714
1353.65, 0.053674
1353.63, 0.053479
1353.61, 0.0532866
1353.58, 0.0530969
1353.56, 0.0529098
1353.54, 0.0527255
1353.52, 0.052544
1353.5, 0.0523652
1353.47, 0.0521894
1353.45, 0.0520165
1353.43, 0.0518466
1353.41, 0.0516796
1353.38, 0.0515157
1353.36, 0.0513548
1353.34, 0.0511971
1353.32, 0.0510424
1353.3, 0.0508908
1353.27, 0.0507424
1353.25, 0.0505971
1353.23, 0.0504549
1353.21, 0.0503159
1353.18, 0.0501801
1353.16, 0.0500474
1353.14, 0.0499179
1353.12, 0.0497916
1353.1, 0.0496684
1353.07, 0.0495484
1353.05, 0.0494316
1353.03, 0.0493179
1353.01, 0.0492075
1352.98, 0.0491002
1352.96, 0.0489961
1352.94, 0.0488952
1352.92, 0.0487976
1352.9, 0.0487032
1352.87, 0.0486121
1352.85, 0.0485242
1352.83, 0.0484397
1352.81, 0.0483585
1352.78, 0.0482806
1352.76, 0.0482062
1352.74, 0.0481352
1352.72, 0.0480676
1352.7, 0.0480035
1352.67, 0.047943
1352.65, 0.047886
1352.63, 0.0478326
1352.61, 0.0477829
1352.58, 0.0477368
1352.56, 0.0476945
1352.54, 0.0476558
1352.52, 0.047621
1352.5, 0.04759
1352.47, 0.0475628
1352.45, 0.0475395
1352.43, 0.0475201
1352.41, 0.0475047
1352.38, 0.0474932
1352.36, 0.0474856
1352.34, 0.0474821
1352.32, 0.0474826
1352.3, 0.0474872
1352.27, 0.0474958
1352.25, 0.0475085
1352.23, 0.0475253
1352.21, 0.0475463
1352.19, 0.0475713
1352.16, 0.0476005
1352.14, 0.0476339
1352.12, 0.0476714
1352.1, 0.0477131
1352.07, 0.047759
1352.05, 0.0478091
1352.03, 0.0478635
1352.01, 0.047922
1351.99, 0.0479848
1351.96, 0.0480519
1351.94, 0.0481232
1351.92, 0.0481988
1351.9, 0.0482787
1351.87, 0.0483629
1351.85, 0.0484515
1351.83, 0.0485443
1351.81, 0.0486415
1351.79, 0.0487431
1351.76, 0.0488491
1351.74, 0.0489594
1351.72, 0.0490741
1351.7, 0.0491933
1351.67, 0.0493169
1351.65, 0.0494449
1351.63, 0.0495775
1351.61, 0.0497144
1351.59, 0.0498559
1351.56, 0.0500019
1351.54, 0.0501524
1351.52, 0.0503074
1351.5, 0.050467
1351.48, 0.0506311
1351.45, 0.0507999
1351.43, 0.0509732
1351.41, 0.0511511
