["Port 1","LEFT"]
["Port 2","LEFT"]
["Port 3","RIGHT"]
["Port 4","RIGHT"]
("Port 1","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.3447787366192175e+14 4.0012553542402091e-01 3.6196245808741153e+01
2.3543560278221238e+14 3.9046209989011016e-01 3.8491672797335127e+01
2.3639333190250300e+14 3.8144661904840899e-01 4.0787034779108431e+01
2.3735106102279362e+14 3.7216615272684950e-01 4.3083646621855920e+01
2.3830879014308425e+14 3.6342218972969842e-01 4.5378307059744458e+01
("Port 2","mode 1",1,"Port 1",1,"transmission")
(22, 3)
2.2011193685756241e+14 8.6604941503660281e-03 -3.0786206750081901e+00
2.2106966597785303e+14 8.1916417362252695e-03 -1.6671036096860433e-02
2.2202739509814366e+14 7.1050193128087274e-03 -3.0940342310938314e+00
2.2298512421843428e+14 6.0454986478160107e-03 -6.1889164343067025e+00
2.2394285333872491e+14 4.8604169586561686e-03 -3.2495564537681392e+00
2.2490058245901553e+14 4.3744027148344359e-03 -6.4192476385697506e-01
2.2585831157930616e+14 4.5182269455733923e-03 2.1339843975221031e+00
2.2681604069959678e+14 4.4311795466910582e-03 5.2186403972376976e+00
2.2777376981988741e+14 5.5862157711560820e-03 8.3420371582495942e+00
2.2873149894017803e+14 6.5707645124391924e-03 1.1386538039129071e+01
2.2918744246397328e+14 6.8715253166037266e-03 1.2807262272158736e+01
2.2923328453667334e+14 6.8575153700017157e-03 1.2953756730808966e+01
2.2968922806046862e+14 6.5839586132632640e-03 1.4421350023994821e+01
2.3064695718075925e+14 4.6140416546792884e-03 1.1324617104504192e+01
2.3160468630104988e+14 3.7609966225836205e-03 1.4376237336576223e+01
2.3256241542134050e+14 4.2960772364231872e-03 1.7233190412832961e+01
2.3352014454163112e+14 4.1194199282668705e-03 2.0083546591916541e+01
2.3447787366192175e+14 4.0041951613782748e-03 2.2951222494154099e+01
2.3543560278221238e+14 4.2549763375339918e-03 2.5995069945637280e+01
2.3639333190250300e+14 5.4244651094912987e-03 2.2892192086910399e+01
2.3735106102279362e+14 5.3412778454195453e-03 2.5937885660244699e+01
2.3830879014308425e+14 3.9411843479206865e-03 2.9075313135335470e+01
("Port 2","mode 1",1,"Port 2",1,"transmission")
(22, 3)
2.2011193685756241e+14 1.3319434006623962e-02 1.8750871098739745e+00
2.2106966597785303e+14 1.1239909964678860e-02 3.6279862164677472e+00
2.2202739509814366e+14 5.0002189573186357e-03 4.5261397503980927e+00
2.2298512421843428e+14 7.5757247847330848e-03 5.7319667106318750e+00
2.2394285333872491e+14 7.7825541565160507e-03 7.8737350376818922e+00
2.2490058245901553e+14 7.2386729449691089e-03 9.9445540237452867e+00
2.2585831157930616e+14 5.4285464563458459e-03 1.2067202620104274e+01
2.2681604069959678e+14 2.8501868929008771e-03 1.3307768791822136e+01
